 1.71 -1.67 10.99 4.98 7.32 7.38 13.55 0.99 11.38 14.77 8.60 5.02 -0.80 13.91 7.17 3.51 2.63 10.67 7.89 11.37 11.66 15.24 9.78 3.90 7.20 1.39 14.32 5.79 14.68 6.19
 1.92 -1.23 11.06 4.85 7.54 7.47 14.21 1.17 12.06 15.24 8.54 5.44 -0.80 13.99 7.80 3.70 3.15 10.88 8.92 11.97 11.74 15.73 10.03 4.26 8.35 1.93 15.38 6.51 15.28 6.90
 2.54 -0.47 11.31 5.14 8.03 7.64 15.05 1.60 12.90 15.93 8.89 6.20 -0.33 14.32 8.80 4.21 4.01 11.42 10.28 12.70 12.05 16.34 10.48 4.87 9.72 2.85 16.43 7.54 16.02 7.80
 3.19 0.21 11.87 5.41 8.70 8.25 16.36 2.18 14.06 16.92 9.51 7.10 0.16 14.86 9.98 4.75 4.86 12.03 11.87 13.79 12.74 17.37 11.33 5.73 11.35 3.87 17.82 8.81 17.46 9.08
 3.73 0.98 12.42 5.68 9.18 8.66 17.70 2.62 15.49 18.14 10.00 8.10 0.57 15.74 11.19 5.32 5.85 12.68 13.66 14.95 13.39 18.61 12.06 6.72 13.14 4.95 19.22 10.05 18.96 10.43
 4.54 1.89 13.32 6.13 10.01 9.30 19.23 3.20 16.94 19.38 10.81 9.30 1.23 16.91 12.65 6.04 7.09 13.68 15.63 16.44 14.38 20.05 13.10 7.95 15.12 6.28 20.82 11.58 20.78 11.98
 5.07 2.66 13.88 6.34 10.60 9.57 20.35 3.63 18.07 20.40 11.40 10.32 1.68 17.67 13.93 6.57 8.17 14.27 17.48 17.59 15.03 21.04 13.84 9.00 16.78 7.54 21.91 12.86 22.40 13.26
 6.52 4.20 15.52 7.51 12.12 10.90 22.76 4.90 20.41 22.54 13.15 12.31 3.16 19.74 16.32 8.05 10.10 15.96 20.59 20.02 16.92 23.33 15.87 11.19 19.61 9.73 24.19 15.28 25.33 15.88
 7.24 5.11 16.40 7.82 12.93 11.41 24.28 5.44 21.81 23.74 14.17 13.60 3.79 20.99 17.93 8.66 11.38 16.83 22.82 21.52 17.90 24.73 17.09 12.62 21.42 11.25 25.49 16.80 27.54 17.60
 8.88 7.22 18.13 9.33 14.73 12.84 26.61 7.06 24.09 25.83 16.06 15.96 5.49 23.41 20.38 10.36 13.78 18.87 25.91 24.03 19.93 27.04 19.14 15.09 24.18 13.70 27.59 19.35 30.46 20.22
 10.41 9.17 20.33 10.75 16.56 14.48 29.62 8.54 26.87 28.44 18.25 18.39 7.07 26.35 23.14 12.24 16.20 21.02 29.46 26.88 22.38 30.11 21.59 17.73 27.20 16.26 29.98 22.02 34.18 23.31
 12.44 11.51 22.59 12.54 18.88 16.28 32.44 10.55 29.41 30.88 21.04 21.05 9.33 29.26 26.23 14.36 18.92 23.35 33.03 29.80 24.95 32.86 24.33 20.74 30.05 19.12 32.32 24.97 37.70 26.46
 14.38 14.05 24.97 14.42 20.99 18.22 35.31 12.50 32.31 33.53 23.55 23.89 11.28 32.50 29.13 16.66 21.76 26.06 36.54 32.82 27.73 35.81 27.04 23.68 32.88 22.00 34.56 27.78 41.19 29.62
 16.69 17.00 27.62 16.74 23.61 20.55 38.75 14.92 35.45 36.55 26.66 27.07 13.76 36.09 32.40 19.28 25.00 29.05 40.49 36.11 31.01 39.35 30.31 27.05 36.11 25.27 37.15 31.08 45.12 33.22
